timestamp,ttl,ip,hostname,asn
1684012403,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684012403,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684012403,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684012403,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684012403,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684012403,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1684012403,7,104.44.230.16,ae22-0.icr01.fra23.ntwk.msn.net,8075
1684012403,8,104.44.20.242,be-120-0.ibr02.fra23.ntwk.msn.net,8075
1684012403,9,104.44.30.48,be-3-0.ibr02.zrh21.ntwk.msn.net,8075
1684012403,10,104.44.30.123,be-9-0.ibr02.gva20.ntwk.msn.net,8075
1684012403,11,104.44.29.58,be-7-0.ibr02.mrs21.ntwk.msn.net,8075
1684012403,12,*,*,*
1684012403,13,*,*,*
1684012403,14,104.44.29.229,be-3-0.ibr02.bom30.ntwk.msn.net,8075
1684012403,15,104.44.19.149,be-1-0.ibr02.per01.ntwk.msn.net,8075
1684012403,16,104.44.19.158,be-6-0.ibr02.mel01.ntwk.msn.net,8075
1684012403,17,104.44.11.172,ae120-0.icr01.mel01.ntwk.msn.net,8075
1684012403,18,*,*,*
1684012403,19,*,*,*
1684012403,20,*,*,*
1684012403,21,*,*,*
1684012403,22,*,*,*
1684012403,23,*,*,*
1684012403,24,*,*,*
1684012403,25,*,*,*
1684012403,26,*,*,*
1684012403,27,*,*,*
1684012403,28,*,*,*
1684012403,29,*,*,*
