timestamp,ttl,ip,hostname,asn
1684197236,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684197236,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684197236,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684197236,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684197236,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684197236,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1684197236,7,104.44.230.14,ae31-0.icr01.fra21.ntwk.msn.net,8075
1684197236,8,104.44.23.103,be-100-0.ibr01.fra21.ntwk.msn.net,8075
1684197236,9,104.44.28.103,be-14-0.ibr01.ams30.ntwk.msn.net,8075
1684197236,10,104.44.31.0,be-15-0.ibr01.lon22.ntwk.msn.net,8075
1684197236,11,104.44.18.152,be-10-0.ibr01.nyc30.ntwk.msn.net,8075
1684197236,12,104.44.19.194,be-8-0.ibr03.bl20.ntwk.msn.net,8075
1684197236,13,104.44.21.224,ae142-0.icr02.bl20.ntwk.msn.net,8075
1684197236,14,*,*,*
1684197236,15,*,*,*
1684197236,16,*,*,*
1684197236,17,*,*,*
1684197236,18,*,*,*
1684197236,19,*,*,*
1684197236,20,*,*,*
1684197236,21,*,*,*
1684197236,22,*,*,*
1684197236,23,*,*,*
1684197236,24,*,*,*
1684197236,25,*,*,*
1684197236,26,*,*,*
1684197236,27,*,*,*
1684197236,28,*,*,*
1684197236,29,*,*,*
