timestamp,ttl,ip,hostname,asn
1683888240,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683888240,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683888240,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683888240,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683888240,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683888240,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1683888240,7,*,*,*
1683888240,8,104.44.20.242,be-120-0.ibr02.fra23.ntwk.msn.net,8075
1683888240,9,104.44.30.48,be-3-0.ibr02.zrh21.ntwk.msn.net,8075
1683888240,10,104.44.30.123,be-9-0.ibr02.gva20.ntwk.msn.net,8075
1683888240,11,104.44.29.58,be-7-0.ibr02.mrs21.ntwk.msn.net,8075
1683888240,12,104.44.28.173,be-23-0.ibr02.mrs20.ntwk.msn.net,8075
1683888240,13,104.44.28.208,be-18-0.ibr02.sin30.ntwk.msn.net,8075
1683888240,14,104.44.29.229,be-3-0.ibr02.bom30.ntwk.msn.net,8075
1683888240,15,104.44.19.149,be-1-0.ibr02.per01.ntwk.msn.net,8075
1683888240,16,104.44.19.158,be-6-0.ibr02.mel01.ntwk.msn.net,8075
1683888240,17,104.44.11.172,ae120-0.icr01.mel01.ntwk.msn.net,8075
1683888240,18,*,*,*
1683888240,19,*,*,*
1683888240,20,*,*,*
1683888240,21,*,*,*
1683888240,22,*,*,*
1683888240,23,*,*,*
1683888240,24,*,*,*
1683888240,25,*,*,*
1683888240,26,*,*,*
1683888240,27,*,*,*
1683888240,28,*,*,*
1683888240,29,*,*,*
