timestamp,ttl,ip,hostname,asn
1684000741,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684000741,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684000741,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684000741,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684000741,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684000741,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1684000741,7,104.44.230.16,ae22-0.icr01.fra23.ntwk.msn.net,8075
1684000741,8,104.44.20.242,be-120-0.ibr02.fra23.ntwk.msn.net,8075
1684000741,9,104.44.30.48,be-3-0.ibr02.zrh21.ntwk.msn.net,8075
1684000741,10,104.44.30.123,be-9-0.ibr02.gva20.ntwk.msn.net,8075
1684000741,11,104.44.29.58,be-7-0.ibr02.mrs21.ntwk.msn.net,8075
1684000741,12,104.44.28.173,be-23-0.ibr02.mrs20.ntwk.msn.net,8075
1684000741,13,104.44.17.64,be-14-0.ibr02.sg2.ntwk.msn.net,8075
1684000741,14,104.44.28.151,be-3-0.ibr02.hkg31.ntwk.msn.net,8075
1684000741,15,104.44.31.22,be-17-0.ibr02.pus20.ntwk.msn.net,8075
1684000741,16,104.44.19.204,be-4-0.ibr02.sel21.ntwk.msn.net,8075
1684000741,17,104.44.22.46,ae120-0.icr01.sel21.ntwk.msn.net,8075
1684000741,18,*,*,*
1684000741,19,*,*,*
1684000741,20,*,*,*
1684000741,21,*,*,*
1684000741,22,*,*,*
1684000741,23,*,*,*
1684000741,24,*,*,*
1684000741,25,*,*,*
1684000741,26,*,*,*
1684000741,27,*,*,*
1684000741,28,*,*,*
1684000741,29,*,*,*
