timestamp,ttl,ip,hostname,asn
1683868053,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683868053,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683868053,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683868053,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683868053,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683868053,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1683868053,7,104.44.230.16,ae22-0.icr01.fra23.ntwk.msn.net,8075
1683868053,8,104.44.20.242,be-120-0.ibr02.fra23.ntwk.msn.net,8075
1683868053,9,104.44.17.225,be-18-0.ibr02.pus03.ntwk.msn.net,8075
1683868053,10,104.44.17.47,be-2-0.ibr01.ams21.ntwk.msn.net,8075
1683868053,11,104.44.19.212,be-8-0.ibr01.dub08.ntwk.msn.net,8075
1683868053,12,104.44.11.70,ae100-0.icr01.dub08.ntwk.msn.net,8075
1683868053,13,*,*,*
1683868053,14,*,*,*
1683868053,15,*,*,*
1683868053,16,*,*,*
1683868053,17,*,*,*
1683868053,18,*,*,*
1683868053,19,*,*,*
1683868053,20,*,*,*
1683868053,21,*,*,*
1683868053,22,*,*,*
1683868053,23,*,*,*
1683868053,24,*,*,*
1683868053,25,*,*,*
1683868053,26,*,*,*
1683868053,27,*,*,*
1683868053,28,*,*,*
1683868053,29,*,*,*
