timestamp,ttl,ip,hostname,asn
1684178746,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684178746,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684178746,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684178746,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684178746,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684178746,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1684178746,7,104.44.230.14,ae31-0.icr01.fra21.ntwk.msn.net,8075
1684178746,8,104.44.23.107,be-120-0.ibr02.fra21.ntwk.msn.net,8075
1684178746,9,104.44.28.123,be-8-0.ibr02.ams30.ntwk.msn.net,8075
1684178746,10,104.44.31.2,be-15-0.ibr02.lon22.ntwk.msn.net,8075
1684178746,11,104.44.19.23,be-13-0.ibr02.dub07.ntwk.msn.net,8075
1684178746,12,104.44.23.159,ae126-0.icr04.dub07.ntwk.msn.net,8075
1684178746,13,*,*,*
1684178746,14,*,*,*
1684178746,15,*,*,*
1684178746,16,*,*,*
1684178746,17,*,*,*
1684178746,18,*,*,*
1684178746,19,*,*,*
1684178746,20,*,*,*
1684178746,21,*,*,*
1684178746,22,*,*,*
1684178746,23,*,*,*
1684178746,24,*,*,*
1684178746,25,*,*,*
1684178746,26,*,*,*
1684178746,27,*,*,*
1684178746,28,*,*,*
1684178746,29,*,*,*
