timestamp,ttl,ip,hostname,asn
1684193400,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684193400,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684193400,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684193400,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684193400,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684193400,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1684193400,7,104.44.230.16,ae22-0.icr01.fra23.ntwk.msn.net,8075
1684193400,8,*,*,*
1684193400,9,104.44.16.140,be-2-0.ibr01.zrh21.ntwk.msn.net,8075
1684193400,10,104.44.30.67,be-10-0.ibr01.gva20.ntwk.msn.net,8075
1684193400,11,*,*,*
1684193400,12,*,*,*
1684193400,13,104.44.28.184,be-19-0.ibr01.sin30.ntwk.msn.net,8075
1684193400,14,104.44.29.207,be-5-0.ibr02.mma01.ntwk.msn.net,8075
1684193400,15,104.44.19.147,be-1-0.ibr01.per01.ntwk.msn.net,8075
1684193400,16,104.44.19.156,be-4-0.ibr01.mel01.ntwk.msn.net,8075
1684193400,17,104.44.7.4,be-1-0.ibr01.mel20.ntwk.msn.net,8075
1684193400,18,104.44.11.162,ae102-0.icr02.mel20.ntwk.msn.net,8075
1684193400,19,*,*,*
1684193400,20,*,*,*
1684193400,21,*,*,*
1684193400,22,*,*,*
1684193400,23,*,*,*
1684193400,24,*,*,*
1684193400,25,*,*,*
1684193400,26,*,*,*
1684193400,27,*,*,*
1684193400,28,*,*,*
1684193400,29,*,*,*
