timestamp,ttl,ip,hostname,asn
1683891940,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683891940,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683891940,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683891940,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683891940,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683891940,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683891940,7,*,*,*
1683891940,8,*,*,*
1683891940,9,154.54.37.29,be2846.ccr42.fra03.atlas.cogentco.com,174
1683891940,10,154.54.58.238,be2800.ccr42.par01.atlas.cogentco.com,174
1683891940,11,154.54.72.226,be2780.ccr32.mrs02.atlas.cogentco.com,174
1683891940,12,154.54.6.26,be2900.ccr21.hkg02.atlas.cogentco.com,174
1683891940,13,154.18.5.98,amazon.demarc.cogentco.com,174
1683891940,14,*,*,*
1683891940,15,52.93.35.93,???,
1683891940,16,*,*,*
1683891940,17,54.239.122.58,???,16509
1683891940,18,*,*,*
1683891940,19,*,*,*
1683891940,20,54.239.122.131,???,16509
1683891940,21,*,*,*
1683891940,22,*,*,*
1683891940,23,*,*,*
1683891940,24,*,*,*
1683891940,25,*,*,*
1683891940,26,*,*,*
1683891940,27,*,*,*
1683891940,28,*,*,*
1683891940,29,*,*,*
