timestamp,ttl,ip,hostname,asn
1683937964,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683937964,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683937964,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683937964,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683937964,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683937964,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683937964,7,4.69.163.86,ae1.3103.ear3.Frankfurt1.level3.net,3356
1683937964,8,*,*,*
1683937964,9,154.54.37.29,be2846.ccr42.fra03.atlas.cogentco.com,174
1683937964,10,154.54.58.238,be2800.ccr42.par01.atlas.cogentco.com,174
1683937964,11,154.54.72.226,be2780.ccr32.mrs02.atlas.cogentco.com,174
1683937964,12,154.54.6.26,be2900.ccr21.hkg02.atlas.cogentco.com,174
1683937964,13,154.18.5.98,amazon.demarc.cogentco.com,174
1683937964,14,52.93.157.236,???,
1683937964,15,52.93.35.93,???,
1683937964,16,*,*,*
1683937964,17,54.239.122.58,???,16509
1683937964,18,*,*,*
1683937964,19,*,*,*
1683937964,20,54.239.122.131,???,16509
1683937964,21,*,*,*
1683937964,22,*,*,*
1683937964,23,*,*,*
1683937964,24,*,*,*
1683937964,25,*,*,*
1683937964,26,*,*,*
1683937964,27,*,*,*
1683937964,28,*,*,*
1683937964,29,*,*,*
