timestamp,ttl,ip,hostname,asn
1684213360,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684213360,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684213360,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684213360,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684213360,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684213360,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1684213360,7,*,*,*
1684213360,8,*,*,*
1684213360,9,154.54.37.29,be2846.ccr42.fra03.atlas.cogentco.com,174
1684213360,10,154.54.58.238,be2800.ccr42.par01.atlas.cogentco.com,174
1684213360,11,154.54.72.226,be2780.ccr32.mrs02.atlas.cogentco.com,174
1684213360,12,154.54.6.26,be2900.ccr21.hkg02.atlas.cogentco.com,174
1684213360,13,154.18.5.98,amazon.demarc.cogentco.com,174
1684213360,14,52.93.157.224,???,
1684213360,15,52.93.35.51,???,
1684213360,16,*,*,*
1684213360,17,54.239.123.88,???,16509
1684213360,18,*,*,*
1684213360,19,*,*,*
1684213360,20,54.239.123.117,???,16509
1684213360,21,54.239.122.6,???,16509
1684213360,22,*,*,*
1684213360,23,*,*,*
1684213360,24,*,*,*
1684213360,25,*,*,*
1684213360,26,*,*,*
1684213360,27,*,*,*
1684213360,28,*,*,*
1684213360,29,*,*,*
